Company Name,Industry,Description,Post Date,Post Views,Country,Ransomware Group
Instituto Agrario Dominicano,Public Service,"The Dominican Agrarian Institute is a decentralized government agency under the Ministry of Agriculture,established by Law No. 5879 as of April 27, 1962, with the aim of carrying out agrarian reform programs throughout the national geography by seizing and distributing land to peasants to transform the structure and agricultural production, improving living conditions in a Dominican villages.",Sep-22,"28,400",Dominican Republic,Quantum
Shaw & Slavsky,Manufacturing,"Shaw & Slavsky was founded in 1932 as a manufacturer of POP signs for grocery retailers.  Since our inception, we have provided innovative signage and merchandising solutions for retailers.  We have over 100,000 square feet of manufacturing capacity to build stock and custom signage and fixtures.",Aug-22,"34,700",United States,Quantum
BeeSense,Manufacturing,"BeeSense designs, develops and manufactures advanced, unique, multi-sensor technology-based solutions and independent, wireless communication & power infrastructures for intelligence, surveillance and reconnaissance in the homeland security and defense sectors.",Aug-22,"43,200",Israel,Quantum
Broshuis | Driving innovation,"Advertising, Marketing & Public Relations","Broshuis B.V. is a 100% family owned, Dutch company and one of the largest specialty trailer manufacturers in Europe.",Jul-22,"61,200",United States,Quantum
ZEUS Scientific,Manufacturing,This company provides medical testing equipment and diagnostic services.,Jun-22,"66,900",United States,Quantum
Shred Station,Business Services,Shred Station understand that secure destruction of your confidential &/or sensitive documents is a serious business - hence we offer the very best in high security shredding services.,Jun-22,"102,300",United Kingdom,Quantum
Florida Department of Veterans' Affairs,Others,Connecting veterans to federal and state benefits they have earned.,May-22,"124,900",United States,Quantum
Valley Rentals,Information Technology,real estate investment company,Apr-22,"162,400",Netherlands,Quantum
Drive Products,Manufacturing,"Drive Products now offers a complete range of truck mounted equipment, products, services and solutions through a growing branch and partner network across Canada",Apr-22,"162,300",Canada,Quantum
Tehama County Social Services,Law Firms & Legal Services,Tehama County in California,Apr-22,"150,200",United States,Quantum
Camden City School District,Education,Camden City School District,Apr-22,"174,200",United States,Quantum
JetStar,Transportation,JetStar is an Australian low-cost airline that offers multiple flights at very low costs.,Apr-22,"191,500",Australia,Quantum
InfoTek Consulting Services,Information Technology,"Headquartered in Toronto and conducting business all over the US and Canada and doing business for over twenty years, our dedication and staff make us one of the leading IT consulting firms in North America",Feb-22,"251,700",Canada,Quantum
Maple Lodge Farms,Agriculture,"Founded in 1955, Maple Lodge Farms is a company that produces, processes, and markets chickens and chicken products",Jan-22,"286,400",Canada,Quantum
Avante Health Solutions,Manufacturing,"Avante Health Solutions is a single source provider of medical, surgical, diagnostic imaging, and radiation oncology equipment, including sales, service, repair, parts, refurbishing, and installation. Avante is making it easier and more affordable for every hospital, clinic, and medical practice to have the very best equipment, supplies and service.",Aug-22,"86,700",United States,Quantum
"Moskowitz, Mandell & Salim, P.A.",Law Firms & Legal Services,"Moskowitz, Mandell & Salim, P.A. was established in 1985 and provides legal services in areas of governmental approval, commercial real estate, zoning and land use, corporate transactional law, estate planning, and community association law with emphasis on complex commercial litigation.  &ZeroWidthSpace;",Aug-22,"33,000",United States,Quantum
Liftow LTD,Business Services,"Founded in 1960, Liftow is a Toyota forklift dealer group in North America. They offer new and pre-owned inventory of forklifts as well as parts and services.",Aug-22,"42,100",Canada,Quantum
American International Industries,Financial Services,"Founded in 1971, American International Industries is a manufacturer and distributor of beauty and skin care products.",Jul-22,"69,900",United States,Quantum
RG Alliance Group,Business Services,"R.G. Alliance is an Outsourced Financial Consulting firm based in San Diego, California. It provides services to businesses of all sizes and stages of growth.",Jun-22,"99,600",United States,Quantum
M. Green and Company LLP,Internet & Telecommunication Services,Certified Public Accountants,Jun-22,"101,800",United States,Quantum
Tex-Isle Supply,Energy & Utilities,"Tex-Isle Supply, Inc. is a leading distributor of high quality energy tubulars, with value-added manufacturing and processing capabilities",May-22,"137,600",United States,Quantum
Petro Serve,Construction,"Largest supplier of home heating, commercial and agricultural fuel, and propane and lubricating oil",Apr-22,"162,500",Qatar,Quantum
Henry,Food & Beverages,"Henry Company is an innovator of building envelope systems and develops integrated air/vapor barrier, roofing and waterproofing systems",Apr-22,"162,700",United States,Quantum
Elgin County,Hospitality & Tourism,Elgin County was founded in 1852 and is a county of the Canadian province of Ontario,Apr-22,"165,600",Canada,Quantum
Hi Tech HoneyComb,Manufacturing,Hi Tech Honeycomb Inc. is a leading manufacturer and supplier of honeycomb detail for gas turbine engine seals.,Apr-22,"186,700",United States,Quantum
Service Employees' International Union,Public Service,"SEIU represents approximately 100,000 members. SEIU represents members who work for school boards, home care agencies, hospitals, special care homes, retirement homes, emergency services, social services, and municipalities, among many others",Apr-22,"186,200",United States,Quantum
Jazeera Airways,Aerospace,Jazeera Airways K.S.C is a Kuwaiti airline with its head office on the grounds of Kuwait International Airport.,Feb-22,"274,700",Kuwait,Quantum
Lewis & Clark College,Education,"L&C, founded in 1970, is a two-year higher education institution with multiple campuses, a river research center, humanities center, training center",Jan-22,"312,800",United States,Quantum
Moscone Center,Business Services,"Founded in 1981. Moscone Center is headquartered in San Fransisco, California. Moscone Center is a meeting and exhibition facility",Aug-22,"28,000",United States,Quantum
Freyr Solutions,Information Technology,"Freyr is one of the largest, global, Regulatory-focused solutions and services companies for the Life Sciences industry supporting, Large, Medium, and Small size global Life sciences companies (Pharmaceutical | Generics | Medical Device | Biotechnology | Biosimilar | Consumer Healthcare | Cosmetics | Food and Food Supplements | Chemicals) in their entire Regulatory value-chain; ranging from Regulatory Strategy, Intelligence, Dossiers, Submissions, etc. to Post-approval/Legacy Product Maintenance, Labeling, Artwork Change Management, and other related functions",Aug-22,"38,300",United States,Quantum
"Delon Hampton & Associates, Chartered",Engineering,"In January 1973, Delon Hampton and Associates, Chartered was founded with the sole objective of creating a world-class engineering consulting firm specializing",Jul-22,"60,500",United States,Quantum
Crupi Group,Construction,"The Crupi Group is an assembly of companies surrounding D. Crupi and Sons Ltd. to fulfill paving and road construction needs for developers, municipalities",Jun-22,"85,900",Canada,Quantum
YMCA,"Community, Social Services & Non-Profit Organisations","YMCA of South Florida has been dedicated to building healthy, confident and secure children, families and communities.",Jun-22,"102,200",United States,Quantum
Medlab Pathology,Healthcare Services,"Medlab Pathology is one of Australia's largest, privately owned independent pathology practices",Jun-22,"102,300",Australia,Quantum
Hirsch Watch Straps & Accessories,Wholesale & Retail,"HIRSCH develops and manufactures the most advanced, the most detailed and the finest bracelets in the world. HIRSCH bracelets are the most beautiful outfit for any watch and are eagerly sought-after accessories. In addition to durability, wearing comfort and appealing looks we bring the technical functionality of these smart companions of watches to perfection.",May-22,"139,000",Austria,Quantum
